Start Date,1/1/2022
End Date,12/31/2022
,
,BXMD Index
,Last Price
Dates,PX_LAST
1/3/2022,3788.29
1/4/2022,3788.29
1/5/2022,3745.12
1/6/2022,3745.32
1/7/2022,3738.51
1/10/2022,3734.95
1/11/2022,3762.17
1/12/2022,3771.59
1/13/2022,3728.81
1/14/2022,3734.25
1/18/2022,3667.41
1/19/2022,3632.14
1/20/2022,3592.39
1/21/2022,3533.05
1/24/2022,3539.67
1/25/2022,3507.98
1/26/2022,3501.25
1/27/2022,3487.48
1/28/2022,3563.3
1/31/2022,3620.84
2/1/2022,3645.38
2/2/2022,3667.92
2/3/2022,3601.17
2/4/2022,3622.06
2/7/2022,3615.59
2/8/2022,3643
2/9/2022,3680.28
2/10/2022,3630.82
2/11/2022,3571.79
2/14/2022,3559.64
2/15/2022,3615.99
2/16/2022,3620.19
2/17/2022,3544.14
2/18/2022,3523.26
2/22/2022,3498.77
2/23/2022,3444.52
2/24/2022,3494.12
2/25/2022,3554.4
2/28/2022,3548.74
3/1/2022,3502.27
3/2/2022,3558.89
3/3/2022,3548.02
3/4/2022,3527.75
3/7/2022,3433.93
3/8/2022,3410.42
3/9/2022,3496.48
3/10/2022,3484.09
3/11/2022,3440.22
3/14/2022,3415.86
3/15/2022,3489.05
3/16/2022,3567
3/17/2022,3607.82
3/18/2022,3641.31
3/21/2022,3644.11
3/22/2022,3669.22
3/23/2022,3646.31
3/24/2022,3678.17
3/25/2022,3691.22
3/28/2022,3708.63
3/29/2022,3722.25
3/30/2022,3709.71
3/31/2022,3693.03
4/1/2022,3711.64
4/4/2022,3727.48
4/5/2022,3705.57
4/6/2022,3688.16
4/7/2022,3699.93
4/8/2022,3698.73
4/11/2022,3647.97
4/12/2022,3636.51
4/13/2022,3677.91
4/14/2022,3637.65
4/18/2022,3640.32
4/19/2022,3682.84
4/20/2022,3682.72
4/21/2022,3643.95
4/22/2022,3555.9
4/25/2022,3576.17
4/26/2022,3479.88
4/27/2022,3487.73
4/28/2022,3569.42
4/29/2022,3442.98
5/2/2022,3464.67
5/3/2022,3482.05
5/4/2022,3583.98
5/5/2022,3457.77
5/6/2022,3440.52
5/9/2022,3330.73
5/10/2022,3339.05
5/11/2022,3284.22
5/12/2022,3281.16
5/13/2022,3359.86
5/16/2022,3346.79
5/17/2022,3414.5
5/18/2022,3277.31
5/19/2022,3258.59
5/20/2022,3250.93
5/23/2022,3290.77
5/24/2022,3272.85
5/25/2022,3295.46
5/26/2022,3333.67
5/27/2022,3367.02
5/31/2022,3364.6
6/1/2022,3361.97
6/2/2022,3383.02
6/3/2022,3370.53
6/6/2022,3378.58
6/7/2022,3390.17
6/8/2022,3384.29
6/9/2022,3350.59
6/10/2022,3288.72
6/13/2022,3169.4
6/14/2022,3159.51
6/15/2022,3206.32
6/16/2022,3102.84
6/17/2022,3106.34
6/21/2022,3157.62
6/22/2022,3161.1
6/23/2022,3177.49
6/24/2022,3207.18
6/27/2022,3221.41
6/28/2022,3198.16
6/29/2022,3200.43
6/30/2022,3188.84
7/1/2022,3211.62
7/5/2022,3217.66
7/6/2022,3227.15
7/7/2022,3245.97
7/8/2022,3252.95
7/11/2022,3247.12
7/12/2022,3236.6
7/13/2022,3241.71
7/14/2022,3247.58
7/15/2022,3283.35
7/18/2022,3264.9
7/19/2022,3322.44
7/20/2022,3333.43
7/21/2022,3354.25
7/22/2022,3342.05
7/25/2022,3348.25
7/26/2022,3324.29
7/27/2022,3373.5
7/28/2022,3390.77
7/29/2022,3404.8
8/1/2022,3404.6
8/2/2022,3396.41
8/3/2022,3415.46
8/4/2022,3417.2
8/5/2022,3419.04
8/8/2022,3421.02
8/9/2022,3417.81
8/10/2022,3430.89
8/11/2022,3427.8
8/12/2022,3433.12
8/15/2022,3432.45
8/16/2022,3431.87
8/17/2022,3433.05
8/18/2022,3432.88
8/19/2022,3411.72
8/22/2022,3353.18
8/23/2022,3347.93
8/24/2022,3358.47
8/25/2022,3398.89
8/26/2022,3296.75
8/29/2022,3276.15
8/30/2022,3241.29
8/31/2022,3216.97
9/1/2022,3227.25
9/2/2022,3193.13
9/6/2022,3180.28
9/7/2022,3238.55
9/8/2022,3260.51
9/9/2022,3310.55
9/12/2022,3345.34
9/13/2022,3200.63
9/14/2022,3212.9
9/15/2022,3176.86
9/16/2022,3152.42
9/19/2022,3167.57
9/20/2022,3143.04
9/21/2022,3103.52
9/22/2022,3085.43
9/23/2022,3038.37
9/26/2022,3009.17
9/27/2022,3004.54
9/28/2022,3060.75
9/29/2022,3001.46
9/30/2022,2958.21
10/3/2022,3033.7
10/4/2022,3120.24
10/5/2022,3116
10/6/2022,3087.51
10/7/2022,3004.95
10/10/2022,2982.92
10/11/2022,2963.56
10/12/2022,2954.05
10/13/2022,3030.69
10/14/2022,2959.7
10/17/2022,3038.25
10/18/2022,3073.02
10/19/2022,3052.57
10/20/2022,3028.35
10/21/2022,3083.9
10/24/2022,3106.65
10/25/2022,3136.27
10/26/2022,3130.1
10/27/2022,3121.76
10/28/2022,3161.03
10/31/2022,3156.73
11/1/2022,3153.54
11/2/2022,3115.43
11/3/2022,3096.77
11/4/2022,3128.65
11/7/2022,3151.73
11/8/2022,3161.89
11/9/2022,3124.81
11/10/2022,3211.22
11/11/2022,3216.52
11/14/2022,3217.25
11/15/2022,3221.77
11/16/2022,3220.91
11/17/2022,3222.37
11/18/2022,3208.17
11/21/2022,3204.94
11/22/2022,3238.15
11/23/2022,3253.94
11/25/2022,3256.34
11/28/2022,3221.91
11/29/2022,3219
11/30/2022,3281.5
12/1/2022,3283.91
12/2/2022,3286.24
12/5/2022,3252.21
12/6/2022,3215.21
12/7/2022,3211.4
12/8/2022,3232.94
12/9/2022,3214.87
12/12/2022,3246.7
12/13/2022,3275.73
12/14/2022,3271.94
12/15/2022,3192.2
12/16/2022,3154.48
12/19/2022,3136.2
12/20/2022,3140.87
12/21/2022,3178.04
12/22/2022,3142.91
12/23/2022,3159.66
12/27/2022,3151.16
12/28/2022,3120.87
12/29/2022,3167.81
12/30/2022,3163.3
,
,
,
,
,
