DATE,BXM
03/22/2002,584.3
03/25/2002,578.48
03/26/2002,581.43
03/27/2002,583.95
03/28/2002,585.55
04/01/2002,585.14
04/02/2002,581.45
04/03/2002,576.8
04/04/2002,577.42
04/05/2002,576.16
04/08/2002,577.55
04/09/2002,574.07
04/10/2002,580.43
04/11/2002,566.95
04/12/2002,570.76
04/15/2002,566.56
04/16/2002,579.69
04/17/2002,578.58
04/18/2002,577.87
04/19/2002,578.15
04/22/2002,572.77
04/23/2002,570.64
04/24/2002,567.89
04/25/2002,567.5
04/26/2002,560.93
04/29/2002,555.98
04/30/2002,561.91
05/01/2002,566.69
05/02/2002,566.12
05/03/2002,560.97
05/06/2002,550.65
05/07/2002,548.94
05/08/2002,568.74
05/09/2002,561.36
05/10/2002,552.16
05/13/2002,562.44
05/14/2002,574.01
05/15/2002,571.08
05/16/2002,575.11
05/17/2002,577.35
05/20/2002,573.6
05/21/2002,569.65
05/22/2002,572.33
05/23/2002,576.48
05/24/2002,572.42
05/28/2002,569.37
05/29/2002,566.92
05/30/2002,566.18
05/31/2002,567.63
06/03/2002,555.42
06/04/2002,555.39
06/05/2002,560.38
06/06/2002,549.92
06/07/2002,549.24
06/10/2002,550.96
06/11/2002,541.95
06/12/2002,545.65
06/13/2002,539.99
06/14/2002,538.78
06/17/2002,554.27
06/18/2002,554.8
06/19/2002,545.7
06/20/2002,538.38
06/21/2002,532.06
06/24/2002,533.98
06/25/2002,528.75
06/26/2002,528.52
06/27/2002,534.94
06/28/2002,535.6
07/01/2002,528.11
07/02/2002,518.9
07/03/2002,521.8
07/05/2002,537.58
07/08/2002,533.21
07/09/2002,522.48
07/10/2002,505.47
07/11/2002,509.25
07/12/2002,506.28
07/15/2002,504.32
07/16/2002,495.08
07/17/2002,498.07
07/18/2002,484.63
07/19/2002,469.68
07/22/2002,457.94
07/23/2002,447.95
07/24/2002,468.67
07/25/2002,467.48
07/26/2002,473.97
07/29/2002,488.51
07/30/2002,488.59
07/31/2002,490.95
08/01/2002,485.1
08/02/2002,478.34
08/05/2002,467.9
08/06/2002,478.32
08/07/2002,485.38
08/08/2002,491.74
08/09/2002,493.14
08/12/2002,493.6
08/13/2002,492.45
08/14/2002,496.29
08/15/2002,496.7
08/16/2002,497.42
08/19/2002,502.51
08/20/2002,499.29
08/21/2002,502.89
08/22/2002,504.93
08/23/2002,501.26
08/26/2002,503.44
08/27/2002,501.19
08/28/2002,496.06
08/29/2002,496.4
08/30/2002,496.7
09/03/2002,482.02
09/04/2002,489.46
09/05/2002,483.75
09/06/2002,491.13
09/09/2002,495.43
09/10/2002,498.33
09/11/2002,498.95
09/12/2002,490.08
09/13/2002,492.36
09/16/2002,493.54
09/17/2002,484.43
09/18/2002,482.41
09/19/2002,467.93
09/20/2002,469.06
09/23/2002,466.31
09/24/2002,461.87
09/25/2002,469.83
09/26/2002,475.18
09/27/2002,467.29
09/30/2002,463.11
10/01/2002,475.37
10/02/2002,468.37
10/03/2002,465.35
10/04/2002,457.62
10/07/2002,450.28
10/08/2002,457.61
10/09/2002,446.5
10/10/2002,461.34
10/11/2002,476.13
10/14/2002,479.54
10/15/2002,488.54
10/16/2002,485.59
10/17/2002,490.02
10/18/2002,494.92
10/21/2002,499.5
10/22/2002,496.88
10/23/2002,499.6
10/24/2002,495.51
10/25/2002,502.31
10/28/2002,500.28
10/29/2002,497.88
10/30/2002,501.32
10/31/2002,500.88
11/01/2002,506.15
11/04/2002,508.45
11/05/2002,509.95
11/06/2002,511.8
11/07/2002,508.95
11/08/2002,507.86
11/11/2002,501.22
11/12/2002,505.5
11/13/2002,506.18
11/14/2002,515.98
11/15/2002,519.93
11/18/2002,517.86
