Date,Close/Last,Volume,Open,High,Low
05/26/2026,22.77,39375,22.78,22.79,22.7177
05/22/2026,22.71,27247,22.75,22.78,22.675
05/21/2026,22.66,37020,22.6,22.67,22.51
05/20/2026,22.56,16418,22.54,22.5999,22.4501
05/19/2026,22.5,23028,22.56,22.56,22.45
05/18/2026,22.6,86680,22.58,22.67,22.46
05/15/2026,22.74,21752,22.75,22.7999,22.69
05/14/2026,22.79,15639,22.82,22.82,22.731
05/13/2026,22.79,64079,22.83,22.83,22.72
05/12/2026,22.79,34124,22.78,22.81,22.74
05/11/2026,22.78,27809,22.76,22.785,22.76
05/08/2026,22.78,27431,22.83,22.83,22.74
05/07/2026,22.76,26660,22.78,22.78,22.7393
05/06/2026,22.7,135881,22.75,22.75,22.66
05/05/2026,22.7,55666,22.71,22.71,22.61
05/04/2026,22.63,27416,22.64,22.68,22.5689
05/01/2026,22.61,32636,22.6,22.6899,22.55
04/30/2026,22.6,38975,22.56,22.6,22.458
04/29/2026,22.5,18689,22.49,22.5,22.43
04/28/2026,22.5,23229,22.44,22.5,22.43
04/27/2026,22.52,29700,22.45,22.52,22.42
04/24/2026,22.48,31652,22.44,22.48,22.37
04/23/2026,22.4,21097,22.46,22.46,22.27
04/22/2026,22.43,14075,22.365,22.44,22.33
04/21/2026,22.29,34902,22.38,22.41,22.252
04/20/2026,22.38,41934,22.51,22.51,22.31
04/17/2026,22.63,54627,22.64,22.64,22.48
04/16/2026,22.47,30952,22.47,22.47,22.44
04/15/2026,22.46,31064,22.52,22.52,22.42
04/14/2026,22.46,53502,22.46,22.46,22.4
04/13/2026,22.47,25110,22.44,22.47,22.3618
04/10/2026,22.39,13388,22.37,22.44,22.37
04/09/2026,22.37,31813,22.35,22.43,22.345
04/08/2026,22.37,14994,22.4,22.4,22.32
04/07/2026,22.17,12804,22.12,22.17,22.0201
04/06/2026,22.14,31113,22.05,22.2,22.05
04/02/2026,22.12,29414,21.94,22.175,21.89
04/01/2026,22.08,324447,22.08,22.15,22
03/31/2026,21.99,24198,21.75,21.99,21.7301
03/30/2026,21.55,25574,21.63,21.67,21.46
03/27/2026,21.56,72310,21.78,21.78,21.52
03/26/2026,21.8,58657,21.94,21.96,21.7601
03/25/2026,22,50026,21.98,22.029,21.948
03/24/2026,21.92,12990,21.89,21.949,21.8795
03/23/2026,21.95,22523,22.04,22.05,21.9001
03/20/2026,21.91,47225,22.13,22.13,21.82
03/19/2026,22.22,27418,22.2,22.32,22.09
03/18/2026,22.32,41764,22.59,22.59,22.32
03/17/2026,22.64,22394,22.65,22.725,22.5993
03/16/2026,22.58,37457,22.47,22.65,22.46
03/13/2026,22.33,23569,22.51,22.561,22.262
03/12/2026,22.45,13869,22.5448,22.555,22.4013
03/11/2026,22.68,54481,22.68,22.78,22.6403
03/10/2026,22.73,37543,22.715,22.87,22.69
03/09/2026,22.69,54515,22.38,22.76,22.2589
03/06/2026,22.57,87393,22.62,22.64,22.475
03/05/2026,22.79,28504,22.81,22.8343,22.64
03/04/2026,22.87,43311,22.79,22.8899,22.785
03/03/2026,22.74,27746,22.55,22.756,22.45
03/02/2026,22.87,79655,22.67,22.9,22.67
02/27/2026,22.7835,25527,22.71,22.84,22.71
02/26/2026,22.83,30311,22.94,22.94,22.75
02/25/2026,22.94,33806,22.91,22.94,22.83
02/24/2026,22.77,22634,22.66,22.8199,22.66
02/23/2026,22.71,50449,22.92,22.9599,22.61
02/20/2026,23.02,35173,22.88,23.048,22.88
02/19/2026,22.93,23517,22.96,22.96,22.81
02/18/2026,22.96,18577,22.82,23.029,22.82
02/17/2026,22.85,20054,22.74,22.85,22.625
02/13/2026,22.78,24698,22.82,22.87,22.65
02/12/2026,22.76,16376,23.1,23.1,22.74
02/11/2026,22.99,34603,23.04,23.04,22.9
02/10/2026,22.92,51762,22.95,23.03,22.92
02/09/2026,23,494279,22.9,23.01,22.87
02/06/2026,22.92,28900,22.66,22.92,22.66
02/05/2026,22.59,42901,22.73,22.73,22.4501
02/04/2026,22.8,27608,22.93,22.93,22.655
02/03/2026,22.86,86217,22.98,22.99,22.72
02/02/2026,22.96,118563,22.85,22.98,22.8
01/30/2026,22.89,58498,22.88,22.9,22.78
01/29/2026,22.884,102032,22.9,22.91,22.715
01/28/2026,22.9,92483,22.94,22.94,22.86
01/27/2026,22.885,73605,22.83,22.92,22.83
01/26/2026,22.88,86801,22.84,22.89,22.7958
01/23/2026,22.81,53196,22.79,22.83,22.7399
01/22/2026,22.78,43482,22.72,22.81,22.72
01/21/2026,22.69,44541,22.54,22.73,22.507
01/20/2026,22.48,63505,22.63,22.66,22.45
01/16/2026,23,48544,23.08,23.08,22.92
01/15/2026,23.02,34385,23.05,23.05,22.96
01/14/2026,23.02,28806,23.03,23.03,22.95
01/13/2026,23.02,37308,23,23.02,22.931
01/12/2026,22.9646,62392,22.9,23.0099,22.9
01/09/2026,22.999,39511,22.97,23,22.9401
01/08/2026,22.97,49946,22.94,22.97,22.88
